time, sound
0, -0.666667
1, 2.86364
2, 2.06818
3, -2.36364
4, 0.818182
5, -2.5
6, 3.93182
7, -2.11364
8, -2.15909
9, 0.704545
10, 3.95556
11, 0.613636
12, -4.75
13, 0.431818
14, 1.13636
15, -0.590909
16, -0.318182
17, -2.56818
18, 0.954545
19, 3.59091
20, 1.57778
21, 2.27273
22, -6.09091
23, -4.52273
24, 5.68182
25, 3.18182
26, -5.34091
27, 1.45455
28, 1.29545
29, -0.0454545
30, 1.28889
31, -2.22727
32, -0.931818
33, -0.840909
34, 0.227273
35, 2.36364
36, -1.93182
37, 0.0909091
38, 1.65909
39, -3.18182
40, 4.37778
41, 0.227273
42, -3.29545
43, -2.31818
44, 3.63636
45, 2.90909
46, 0.659091
47, -2.54545
48, -4.72727
49, -0.431818
50, 3.48889
51, -0.340909
52, 2.70455
53, -0.681818
54, -1.97727
55, 1.47727
56, -0.704545
57, -2.13636
58, 1.18182
59, 2.40909
60, 2.64444
61, -3.09091
62, -2.5
63, -0.863636
64, 2.43182
65, -1.79545
66, 1.38636
67, -0.568182
68, -1
69, 3.6
70, 1.13636
71, -3.61364
72, -1.38636
73, 3.18182
74, 1.20455
75, -3.15909
76, -1.61364
77, 1.81818
78, 2.61364
79, 3.34091
80, -4.8
81, -4.72727
82, -2.09091
83, 6.72727
84, 4.25
85, -0.318182
86, -5.5
87, 0
88, -1.65909
89, 1.18182
90, -0.288889
91, -0.909091
92, 5.86364
93, 1.47727
94, -4.72727
95, 2.77273
96, -1.5
97, -1.93182
98, -3.02273
99, 4.54545
100, 0.622222
101, -0.613636
102, 0.977273
103, -1.65909
104, 3
105, -1.86364
106, -1.31818
107, -2.40909
108, -2.43182
109, 4.72727
110, 2.71111
111, -4.72727
112, 5.29545
113, 1.65909
114, -5.36364
115, 0.931818
116, -0.136364
117, 0.0227273
118, -0.204545
119, 0.204545
120, -0.111111
121, -0.5
122, -1.68182
123, 6.84091
124, 18.3409
125, -13.25
126, 182.523
127, -232.568
128, 1512.18
129, -2223.75
130, 484.356
131, 1256.64
132, -983.955
133, 42.75
134, 390.364
135, -769.432
136, 515.205
137, 54.0455
138, 0.659091
139, -426.222
140, 665.545
141, -587.568
142, 385.25
143, -16.7955
144, -509.545
145, 252.977
146, 281.705
147, -236.227
148, 20.9318
149, 66.7955
150, -147.067
151, -28.0682
152, 143.25
153, -71.2727
154, 6.56818
155, -124.636
156, 203.591
157, -170.841
158, 67.0455
159, 169.045
160, -81.0444
161, 23.4773
162, -81.7727
163, 91.8864
164, -100.045
165, -46.7955
166, 218.568
167, -363.727
168, 399.636
169, -126.667
170, -198.432
171, 241.455
172, -31.7727
173, -123.659
174, 71.6818
175, 51.6591
176, -43.4773
177, 11.3182
178, -81.3864
179, 27.5455
180, 31.2
181, 18.4318
182, 1.54545
183, -17.8409
184, -111.886
185, 178.068
186, -147.614
187, 76.4545
188, 22.7955
189, 14.2727
190, -50.0667
191, 19.3636
192, 7.70455
193, 56.5455
194, -60.3182
195, 47.9545
196, -21.7955
197, -55.5
198, 155.659
199, -168.568
200, 72.2889
201, -51.0455
202, 7.25
203, 83.8864
204, -53.1818
205, -100.023
206, 108.477
207, 24.6591
208, -25.6591
209, -50.8409
210, 18.7556
211, 34.6818
212, -21.75
213, -14
214, 15.8182
215, -44
216, 72.1818
217, -49.3864
218, 13.4318
219, -47.5455
220, 74.8667
221, -8.90909
222, -59.9318
223, 53.25
224, -15.2727
225, -24.5455
226, 9.72727
227, 33.3864
228, 21.7955
229, -60.6364
230, 41.9111
231, -32.1136
232, -30.1136
233, 21.1364
234, 48.6818
235, -42.1591
236, 3.52273
237, 65.2045
238, -77.8636
239, 40.2727
240, -7.13333
241, -9.15909
242, 14.7273
243, 0.409091
244, 4.22727
245, 0.818182
246, -40.0227
247, 35.0227
248, -1.04545
249, -10.1364
250, 11.9778
251, -26.7273
252, -14.0682
253, 18.3182
254, 4.11364
255, 0.977273
256, -2.43182
257, -3.63636
258, -13.6364
259, 17.3636
260, 45.5111
261, -34.8636
262, 6.65909
263, -4.29545
264, -7
265, 25.9091
266, -14.5
267, 1.02273
268, 8.45455
269, -39.9091
270, -16.2
271, 55.5
272, -23.3864
273, 14.1818
274, -0.818182
275, -14.0682
276, -1.54545
277, 35.8182
278, -11.4773
279, -42.1778
280, 33.9091
281, -12.5909
282, -13.7727
283, 1.11364
284, 17.75
285, -14.9545
286, 20.8182
287, -4.59091
288, 0.159091
289, -17.7045
290, 4.75556
291, 10.5682
292, -3.75
293, 10.4318
294, -19.3864
295, -7.25
296, 1.09091
297, 5.56818
298, 9.70455
299, 6.93182
300, -1.95556
301, 1.06818
302, 7.20455
303, -17.9545
304, 3.02273
305, 3.52273
306, -22.3636
307, 14.6364
308, 18.2727
309, -5.79545
310, 0.622222
311, -24.1364
312, 4.09091
313, 0.931818
314, -838.477
315, 2042.05
316, -857.864
317, -1710.14
318, 1768.32
319, -199.068
320, -412.933
321, 691.795
322, -571.136
323, -131.773
324, 356.545
325, 106.159
326, -383.773
327, 48.9545
328, -14.8409
329, -220.295
330, 687.244
331, -353.364
332, -1.79545
333, -100.409
334, 235.955
335, 141.182
336, -358.841
337, 218.795
338, -187.273
339, 53.6444
340, 246.5
341, -214.841
342, 16.2045
343, -56.8409
344, 20.3864
345, 55
346, -43.0455
347, -60.5682
348, 119.114
349, -29.5227
350, -63.9333
351, 75.6364
352, -148.568
353, 159.932
354, -32.5
355, -74.5455
356, 203.523
357, -15.4773
358, -267.591
359, 370.523
360, -287.156
361, -7.65909
362, 66.3409
363, 39.9091
364, -62.0227
365, 30.4773
366, 89.4091
367, -68.7955
368, 31.3636
369, 98.5227
370, -86.9333
371, -78.8409
372, 58.0227
373, 20.1136
374, -74.7727
375, 23.5227
376, 58.6591
377, -71.25
378, 19.3864
379, -39.0455
380, 35.1111
381, -63.0455
382, 98.2273
383, -94.25
384, 116.114
385, -111.636
386, -7.68182
387, 100.932
388, 9.29545
389, -46.1818
390, -31.0889
391, -28.8636
392, 97.25
393, -5.77273
394, -91.25
395, 19.1364
396, 79.6818
397, -76.6364
398, 21.0682
399, 67.2273
400, -70.4
401, 38
402, -61.8182
403, 50.5682
404, 9.09091
