time, sound
0, 3.52767
1, 1.35832
2, 1.92351
3, 1.6527
4, 1.79991
5, 1.19659
6, 1.82654
7, 2.78156
8, 1.5067
9, 4.7029
10, 2.75645
11, 4.21154
12, 2.64682
13, 1.4045
14, 1.64581
15, 1.41932
16, 2.38149
17, 1.37176
18, 1.50687
19, 1.48199
20, 1.22
21, 3.16489
22, 1.48963
23, 2.536
24, 2.73673
25, 3.73724
26, 2.10997
27, 2.08299
28, 2.52784
29, 1.06503
30, 2.31538
31, 2.05453
32, 1.26846
33, 1.29585
34, 2.15178
35, 1.26295
36, 2.70015
37, 2.00928
38, 2.65384
39, 2.94088
40, 2.35031
41, 2.08745
42, 1.057
43, 1.27516
44, 2.03482
45, 2.37236
46, 5.62035
47, 5.18939
48, 3.42692
49, 1.77607
50, 2.72129
51, 2.93058
52, 2.34113
53, 2.33328
54, 1.19637
55, 2.14782
56, 2.64214
57, 1.86585
58, 1.31897
59, 3.58861
60, 2.73378
61, 1.41129
62, 1.46938
63, 2.36057
64, 2.16792
65, 1.92566
66, 1.76089
67, 1.55794
68, 3.34392
69, 1.10353
70, 1.45526
71, 1.8367
72, 2.83016
73, 1.55611
74, 1.27171
75, 2.39263
76, 1.78651
77, 1.02852
78, 2.1555
79, 2.09917
80, 2.54384
81, 2.1988
82, 2.83499
83, 2.12521
84, 1.3505
85, 2.29399
86, 1.09752
87, 2.16375
88, 1.53657
89, 1.91017
90, 1.24047
91, 2.57451
92, 1.84133
93, 2.3692
94, 1.96981
95, 2.56607
96, 1.92472
97, 1.4365
98, 2.44474
99, 1.98236
100, 1.58169
101, 1.77375
102, 1.35661
103, 1.85795
104, 2.14264
105, 3.04206
106, 2.62655
107, 2.77422
108, 2.17838
109, 2.57049
110, 3.40993
111, 2.46211
112, 2.41755
113, 2.48581
114, 2.35576
115, 2.06043
116, 1.58961
117, 1.46921
118, 2.40813
119, 1.1981
120, 2.00247
121, 2.4168
122, 6.99276
123, 11.0391
124, 16.6814
125, 22.4875
126, 1149.97
127, 6990.44
128, 7560.49
129, 4619.17
130, 3739.93
131, 1383.13
132, 932.12
133, 784.508
134, 874.845
135, 723.935
136, 738.653
137, 3783.04
138, 2240.3
139, 1258.24
140, 1696.84
141, 1634.54
142, 1415.63
143, 612.283
144, 487.917
145, 848.41
146, 705.967
147, 733.877
148, 1204.21
149, 1220.91
150, 799.029
151, 843.5
152, 615.476
153, 807.031
154, 595.241
155, 753.359
156, 905.338
157, 738.377
158, 703.416
159, 784.253
160, 711.556
161, 590.871
162, 835.411
163, 548.656
164, 467.899
165, 713.296
166, 556.241
167, 579.854
168, 505.711
169, 483.828
170, 825.626
171, 749.601
172, 744.324
173, 746.775
174, 561.771
175, 588.635
176, 527.38
177, 601.097
178, 678.526
179, 533.719
180, 469.41
181, 433.707
182, 596.586
183, 423.084
184, 353.579
185, 415.425
186, 552.238
187, 499.762
188, 373.164
189, 464.47
190, 475.01
191, 266.005
192, 371.392
193, 354.196
194, 295.027
195, 332.88
196, 451.107
197, 505.24
198, 438.077
199, 387.8
200, 439.327
201, 408.051
202, 291.263
203, 382.199
204, 428.61
205, 350.529
206, 429.376
207, 367.574
208, 389.825
209, 273.845
210, 374.659
211, 273.834
212, 248.385
213, 256.608
214, 264.928
215, 321.164
216, 270.585
217, 206.997
218, 169.034
219, 210.468
220, 175.93
221, 242.66
222, 317.896
223, 323.794
224, 363.408
225, 186.241
226, 210.841
227, 254.993
228, 246.988
229, 286.34
230, 192.733
231, 213.134
232, 202.369
233, 249.246
234, 165.153
235, 165.965
236, 124.006
237, 231.375
238, 251.027
239, 249.623
240, 167.177
241, 177.922
242, 117.562
243, 143.988
244, 194.86
245, 190.615
246, 125.35
247, 115.833
248, 211.768
249, 183.017
250, 171.777
251, 128.01
252, 144.819
253, 146.534
254, 196.129
255, 123.122
256, 177.402
257, 72.919
258, 133.062
259, 99.3186
260, 167.476
261, 146.082
262, 115.473
263, 101.991
264, 135.72
265, 119.467
266, 151.697
267, 120.606
268, 125.483
269, 99.013
270, 110.238
271, 55.0807
272, 114.212
273, 119.693
274, 152.83
275, 95.2061
276, 50.4568
277, 121.063
278, 151.81
279, 103.539
280, 84.581
281, 85.6484
282, 93.3062
283, 77.3414
284, 56.8351
285, 136.161
286, 90.578
287, 84.1258
288, 97.785
289, 92.2318
290, 91.4032
291, 65.668
292, 74.0887
293, 72.1275
294, 77.3966
295, 56.7511
296, 73.0062
297, 43.4011
298, 112.541
299, 43.0372
300, 73.4381
301, 88.4535
302, 80.0229
303, 50.7041
304, 82.4352
305, 63.0532
306, 50.5673
307, 59.4555
308, 52.5333
309, 57.0895
310, 54.446
311, 52.9368
312, 118.041
313, 78.0083
314, 3910.2
315, 7035.71
316, 6219.72
317, 3809.69
318, 3157.18
319, 1584.3
320, 760.87
321, 601.855
322, 855.694
323, 705.97
324, 2404.03
325, 3942.5
326, 1362.28
327, 1744.56
328, 1772.46
329, 1580.61
330, 1047.96
331, 622.933
332, 819.991
333, 703.385
334, 674.223
335, 901.104
336, 1363.5
337, 1035.55
338, 898.684
339, 685.319
340, 476.901
341, 682.731
342, 509.99
343, 734.866
344, 944.425
345, 698.784
346, 819.541
347, 850.508
348, 575.426
349, 763.381
350, 640.497
351, 473.753
352, 596.657
353, 685.47
354, 581.722
355, 677.816
356, 477.083
357, 593.918
358, 792.441
359, 677.632
360, 753.003
361, 681.031
362, 555.551
363, 551.794
364, 546.011
365, 539.449
366, 658.937
367, 353.57
368, 431.581
369, 484.766
370, 441.034
371, 376.552
372, 412.883
373, 420.744
374, 526.741
375, 349.116
376, 379.205
377, 437.349
378, 441.522
379, 213.399
380, 407.736
381, 346.756
382, 290.962
383, 307.875
384, 383.131
385, 342.174
386, 514.501
387, 362.2
388, 305.785
389, 363.25
390, 351.106
391, 363.569
392, 446.479
393, 368.672
394, 415.671
395, 344.293
396, 345.966
397, 315.177
398, 376.929
399, 193.628
400, 265.452
401, 299.234
402, 307.906
403, 288.155
404, 284.7
405, 190.079
406, 178.388
407, 172.365
408, 201.997
409, 247.112
410, 360.144
411, 313.565
412, 266.528
413, 158.247
414, 209.419
415, 210.261
416, 287.549
417, 219.064
418, 213.071
419, 211.839
420, 205.244
421, 156.634
422, 195.072
423, 144.711
424, 122.511
425, 282.666
426, 204.252
427, 227.388
428, 155.072
429, 168.312
430, 108.533
431, 164.185
432, 198.628
433, 149.794
434, 142.223
435, 150.548
436, 198.914
437, 136.14
438, 195.57
439, 111.712
440, 161.892
441, 138.369
442, 143.004
443, 135.421
444, 131.105
445, 113.417
446, 101.968
447, 98.9463
448, 171.723
449, 107.806
450, 114.391
451, 117.493
452, 97.2128
453, 147.135
454, 128.589
455, 123.004
456, 113.172
457, 76.9638
458, 96.3138
459, 79.4896
460, 98.9821
461, 128.256
462, 103.013
463, 83.3981
464, 67.3049
465, 118.238
466, 97.1726
467, 65.1782
468, 60.0726
469, 69.2896
470, 63.9815
471, 68.7183
472, 101.668
473, 97.0687
474, 94.1433
475, 63.8185
476, 74.3773
477, 82.9294
478, 87.8007
479, 71.7539
480, 51.9484
481, 76.1023
482, 60.0267
483, 63.2899
484, 42.4217
485, 59.4709
486, 105.604
487, 31.8044
488, 92.3054
489, 105.495
490, 402.272
491, 6318.25
492, 9023.46
493, 5556.91
494, 3062.34
495, 1807.85
496, 1343.42
497, 879.84
498, 577.536
499, 667.529
500, 662.773
501, 3392.74
502, 2606.7
503, 1386.36
504, 1089.58
505, 2041.92
506, 1549.36
507, 860.443
508, 690.911
509, 891.491
510, 606.816
511, 633.954
512, 1529.53
513, 1494.73
514, 1019.04
515, 657.942
516, 779.416
517, 409.728
518, 656.926
519, 705.398
520, 762.017
521, 653.704
522, 484.749
523, 963.38
524, 844.91
525, 975.629
526, 1258.42
527, 916.414
528, 576.543
529, 768.387
530, 657.551
531, 623.055
532, 781.89
533, 569.593
534, 603.802
535, 832.889
536, 701.783
537, 760.581
538, 720.724
539, 559.145
540, 686.847
541, 538.786
542, 668.587
543, 523.465
544, 533.513
545, 584.543
546, 459.735
547, 457.997
548, 381.759
549, 485.716
550, 435.674
551, 421.485
552, 453.985
553, 501.887
554, 514.894
555, 444.755
556, 360.605
557, 465.623
558, 417.564
559, 269.518
560, 315.809
561, 491.397
562, 385.712
563, 421.093
564, 434.455
565, 391.912
566, 330.642
567, 350.79
568, 365.293
569, 376.966
570, 434.242
571, 318.531
572, 349.086
573, 360.068
574, 355.602
575, 277.352
576, 215.279
577, 265.959
578, 277.891
579, 285.282
580, 317.439
581, 340.53
582, 250.108
583, 275.497
584, 202.683
585, 242.801
586, 335.913
587, 335.194
588, 319.008
589, 241.461
590, 201.139
591, 283.419
592, 194.757
593, 333.094
594, 256.845
595, 240.21
596, 242.069
597, 280.152
598, 159.462
599, 169.929
600, 146.854
601, 223.072
602, 241.891
603, 246.095
604, 189.196
605, 120.956
606, 155.676
607, 174.351
608, 147.63
609, 164.486
610, 151.414
611, 169.036
612, 165.585
613, 220.553
614, 161.468
615, 190.884
616, 142.173
617, 139.864
618, 180.751
619, 141.046
620, 191.386
621, 92.7617
622, 169.763
623, 144.701
624, 107.667
625, 200.991
626, 137.451
627, 109.072
628, 154.267
629, 128.54
630, 135.16
631, 106.283
632, 160.442
633, 96.1373
634, 98.3793
635, 105.166
636, 98.895
637, 122.849
638, 171.219
639, 88.0372
640, 98.5058
641, 91.5451
642, 121.518
643, 118.764
644, 56.0044
645, 58.8605
646, 86.2492
647, 64.1345
648, 59.2279
649, 131.925
650, 92.7182
651, 86.4275
652, 85.619
653, 77.3644
654, 61.6195
655, 92.0563
656, 101.068
657, 3727.34
658, 6802.2
659, 6350.39
660, 2421.98
661, 1824.02
662, 1306.81
663, 574.382
664, 597.156
665, 701.81
666, 653.086
667, 2218.5
668, 3383.76
669, 1922
670, 1077.5
671, 1737.46
672, 1291.73
673, 1198.57
674, 950.634
675, 826.738
676, 484.205
677, 628.468
678, 1113.52
679, 1311.55
680, 1162.5
681, 878.225
682, 652.342
683, 458.768
684, 625.511
685, 539.754
686, 954.87
687, 492.655
688, 589.115
689, 805.391
690, 804.851
691, 626.054
692, 762.776
693, 762.601
694, 609.9
695, 487.434
696, 717.606
697, 540.716
698, 681.322
699, 349.528
700, 537.465
701, 840.186
702, 717.413
703, 521.019
704, 587.785
705, 555.208
706, 565.495
707, 387.735
708, 535.751
709, 705.58
710, 386.618
711, 414.501
712, 415.24
713, 435.163
714, 347.219
715, 443.253
716, 264.651
717, 414.926
718, 390.14
719, 423.691
720, 476.005
721, 382.938
722, 299.161
723, 444.674
724, 455.66
725, 294.79
726, 290.457
727, 424.495
728, 362.13
729, 449.268
730, 343.527
731, 332.227
732, 283.27
733, 302.516
734, 456.764
735, 438.509
736, 366.229
737, 278.308
738, 335.563
739, 278.959
740, 389.274
741, 360.431
742, 242.029
743, 271.993
744, 295.365
745, 247.348
746, 221.731
747, 276.952
748, 187.985
749, 246.009
750, 297.979
751, 236.095
752, 281.413
753, 293.398
754, 250.392
755, 276.08
756, 195.411
757, 261.925
758, 190.023
759, 248.418
760, 200.728
761, 175.265
762, 206.165
763, 211.45
764, 167.106
765, 199.702
766, 103.085
767, 132.836
768, 256.975
769, 224.053
770, 182.574
771, 116.079
772, 150.973
773, 161.318
774, 169.612
775, 176.684
776, 123.723
777, 118.742
778, 165.771
779, 180.322
780, 127.335
781, 152.683
782, 92.0637
783, 93.8845
784, 84.2102
785, 162.626
786, 137.16
787, 110.735
788, 101.649
789, 133.423
790, 121.673
791, 169.105
792, 103.302
793, 61.7021
794, 98.8679
795, 90.3987
796, 113.192
797, 100.927
798, 126.217
799, 95.6999
800, 82.3003
801, 93.41
802, 68.886
803, 83.9054
804, 101.374
805, 87.3152
806, 95.2038
807, 55.6246
808, 121.708
809, 94.217
810, 62.7779
811, 77.4819
812, 74.6219
813, 101.391
814, 4217.67
815, 6423.07
816, 5221.82
817, 2028.21
818, 1700.06
819, 1161.77
820, 536.395
821, 567.763
822, 635.102
823, 614.023
824, 2249.71
825, 3549.12
826, 1543.46
827, 1288.73
828, 1685.97
829, 1199.51
830, 831.689
831, 750.813
832, 744.111
833, 516.906
834, 576.463
835, 1053.65
836, 1358.48
837, 954.947
838, 728.15
839, 571.228
840, 574.342
841, 482.789
842, 374.003
843, 834.981
844, 412.591
845, 558.478
846, 711.971
847, 718.733
848, 659.29
849, 829.124
850, 633.229
851, 462.813
852, 559.507
853, 728.501
854, 576.091
855, 715.976
856, 380.935
857, 555.838
858, 739.945
859, 796.33
860, 417.489
861, 600.526
862, 510.664
863, 525.88
864, 402.646
865, 469.186
866, 591.695
867, 391.668
868, 389.265
869, 473.411
870, 422.568
871, 335.647
872, 458.391
873, 279.219
874, 387.136
875, 400.339
876, 396.233
877, 478.04
878, 345.387
879, 293.949
880, 400.7
881, 392.075
882, 254.981
883, 286.218
884, 379.615
885, 298.067
886, 401.765
887, 373.008
888, 351.796
889, 287.817
890, 306.281
891, 365.132
892, 428.874
893, 321.022
894, 246.419
895, 284.616
896, 268.17
897, 369.002
898, 330.863
899, 196.091
900, 294.743
901, 304.368
902, 212.895
903, 216.542
904, 258.472
905, 144.388
906, 218.021
907, 285.198
908, 209.584
909, 272.615
910, 308.145
911, 231.083
912, 237.35
913, 191.578
