time, mean, SD
0, -0.666667, 3.52767
1, 2.86364, 1.35832
2, 2.06818, 1.92351
3, -2.36364, 1.6527
4, 0.818182, 1.79991
5, -2.5, 1.19659
6, 3.93182, 1.82654
7, -2.11364, 2.78156
8, -2.15909, 1.5067
9, 0.704545, 4.7029
10, 3.95556, 2.75645
11, 0.613636, 4.21154
12, -4.75, 2.64682
13, 0.431818, 1.4045
14, 1.13636, 1.64581
15, -0.590909, 1.41932
16, -0.318182, 2.38149
17, -2.56818, 1.37176
18, 0.954545, 1.50687
19, 3.59091, 1.48199
20, 1.57778, 1.22
21, 2.27273, 3.16489
22, -6.09091, 1.48963
23, -4.52273, 2.536
24, 5.68182, 2.73673
25, 3.18182, 3.73724
26, -5.34091, 2.10997
27, 1.45455, 2.08299
28, 1.29545, 2.52784
29, -0.0454545, 1.06503
30, 1.28889, 2.31538
31, -2.22727, 2.05453
32, -0.931818, 1.26846
33, -0.840909, 1.29585
34, 0.227273, 2.15178
35, 2.36364, 1.26295
36, -1.93182, 2.70015
37, 0.0909091, 2.00928
38, 1.65909, 2.65384
39, -3.18182, 2.94088
40, 4.37778, 2.35031
41, 0.227273, 2.08745
42, -3.29545, 1.057
43, -2.31818, 1.27516
44, 3.63636, 2.03482
45, 2.90909, 2.37236
46, 0.659091, 5.62035
47, -2.54545, 5.18939
48, -4.72727, 3.42692
49, -0.431818, 1.77607
50, 3.48889, 2.72129
51, -0.340909, 2.93058
52, 2.70455, 2.34113
53, -0.681818, 2.33328
54, -1.97727, 1.19637
55, 1.47727, 2.14782
56, -0.704545, 2.64214
57, -2.13636, 1.86585
58, 1.18182, 1.31897
59, 2.40909, 3.58861
60, 2.64444, 2.73378
61, -3.09091, 1.41129
62, -2.5, 1.46938
63, -0.863636, 2.36057
64, 2.43182, 2.16792
65, -1.79545, 1.92566
66, 1.38636, 1.76089
67, -0.568182, 1.55794
68, -1, 3.34392
69, 3.6, 1.10353
70, 1.13636, 1.45526
71, -3.61364, 1.8367
72, -1.38636, 2.83016
73, 3.18182, 1.55611
74, 1.20455, 1.27171
75, -3.15909, 2.39263
76, -1.61364, 1.78651
77, 1.81818, 1.02852
78, 2.61364, 2.1555
79, 3.34091, 2.09917
80, -4.8, 2.54384
81, -4.72727, 2.1988
82, -2.09091, 2.83499
83, 6.72727, 2.12521
84, 4.25, 1.3505
85, -0.318182, 2.29399
86, -5.5, 1.09752
87, 0, 2.16375
88, -1.65909, 1.53657
89, 1.18182, 1.91017
90, -0.288889, 1.24047
91, -0.909091, 2.57451
92, 5.86364, 1.84133
93, 1.47727, 2.3692
94, -4.72727, 1.96981
95, 2.77273, 2.56607
96, -1.5, 1.92472
97, -1.93182, 1.4365
98, -3.02273, 2.44474
99, 4.54545, 1.98236
100, 0.622222, 1.58169
101, -0.613636, 1.77375
102, 0.977273, 1.35661
103, -1.65909, 1.85795
104, 3, 2.14264
105, -1.86364, 3.04206
106, -1.31818, 2.62655
107, -2.40909, 2.77422
108, -2.43182, 2.17838
109, 4.72727, 2.57049
110, 2.71111, 3.40993
111, -4.72727, 2.46211
112, 5.29545, 2.41755
113, 1.65909, 2.48581
114, -5.36364, 2.35576
115, 0.931818, 2.06043
116, -0.136364, 1.58961
117, 0.0227273, 1.46921
118, -0.204545, 2.40813
119, 0.204545, 1.1981
120, -0.111111, 2.00247
121, -0.5, 2.4168
122, -1.68182, 6.99276
123, 6.84091, 11.0391
124, 18.3409, 16.6814
125, -13.25, 22.4875
126, 182.523, 1149.97
127, -232.568, 6990.44
128, 1512.18, 7560.49
129, -2223.75, 4619.17
130, 484.356, 3739.93
131, 1256.64, 1383.13
132, -983.955, 932.12
133, 42.75, 784.508
134, 390.364, 874.845
135, -769.432, 723.935
136, 515.205, 738.653
137, 54.0455, 3783.04
138, 0.659091, 2240.3
139, -426.222, 1258.24
140, 665.545, 1696.84
141, -587.568, 1634.54
142, 385.25, 1415.63
143, -16.7955, 612.283
144, -509.545, 487.917
145, 252.977, 848.41
146, 281.705, 705.967
147, -236.227, 733.877
148, 20.9318, 1204.21
149, 66.7955, 1220.91
150, -147.067, 799.029
151, -28.0682, 843.5
152, 143.25, 615.476
153, -71.2727, 807.031
154, 6.56818, 595.241
155, -124.636, 753.359
156, 203.591, 905.338
157, -170.841, 738.377
158, 67.0455, 703.416
159, 169.045, 784.253
160, -81.0444, 711.556
161, 23.4773, 590.871
162, -81.7727, 835.411
163, 91.8864, 548.656
164, -100.045, 467.899
165, -46.7955, 713.296
166, 218.568, 556.241
167, -363.727, 579.854
168, 399.636, 505.711
169, -126.667, 483.828
170, -198.432, 825.626
171, 241.455, 749.601
172, -31.7727, 744.324
173, -123.659, 746.775
174, 71.6818, 561.771
175, 51.6591, 588.635
176, -43.4773, 527.38
177, 11.3182, 601.097
178, -81.3864, 678.526
179, 27.5455, 533.719
180, 31.2, 469.41
181, 18.4318, 433.707
182, 1.54545, 596.586
183, -17.8409, 423.084
184, -111.886, 353.579
185, 178.068, 415.425
